"Lag.Period","contrast","Variable","Level","N","Risk.in.Intervention.Arm","Risk.in.Control.Arm","Risk.Ratio..95..CI.","Risk.Difference..95..CI."
"0 Week Lag","Pooled Intervention","Average Weekly Temperature","Above Median","7,639","0.04 (0.04, 0.05)","0.07 (0.06, 0.09)","0.57 (0.46, 0.72)","-0.03 (-0.05, -0.02)"
"0 Week Lag","Pooled Intervention","Average Weekly Temperature","Below Median","4,763","0.03 (0.03, 0.04)","0.03 (0.03, 0.04)","1.03 (0.69, 1.54)","0.00 (-0.01, 0.01)"
"0 Week Lag","Pooled Intervention","Minimum Weekly Temperature","Above Median","7,495","0.04 (0.03, 0.05)","0.07 (0.06, 0.08)","0.58 (0.46, 0.73)","-0.03 (-0.04, -0.01)"
"0 Week Lag","Pooled Intervention","Minimum Weekly Temperature","Below Median","4,907","0.03 (0.03, 0.04)","0.03 (0.03, 0.04)","0.91 (0.54, 1.54)","0.00 (-0.02, 0.02)"
"0 Week Lag","Pooled Intervention","Maximum Weekly Temperature","Above Median","7,669","0.04 (0.03, 0.05)","0.07 (0.06, 0.08)","0.58 (0.36, 0.94)","-0.03 (-0.06, 0.00)"
"0 Week Lag","Pooled Intervention","Maximum Weekly Temperature","Below Median","4,733","0.03 (0.03, 0.04)","0.03 (0.03, 0.04)","0.98 (0.68, 1.43)","0.00 (-0.01, 0.01)"
"0 Week Lag","Combined WSH","Average Weekly Temperature","Above Median","4,440","0.04 (0.03, 0.05)","0.07 (0.06, 0.09)","0.54 (0.41, 0.71)","-0.03 (-0.05, -0.02)"
"0 Week Lag","Combined WSH","Average Weekly Temperature","Below Median","2,678","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.99 (0.60, 1.64)","0.00 (-0.02, 0.02)"
"0 Week Lag","Combined WSH","Minimum Weekly Temperature","Above Median","4,341","0.04 (0.03, 0.05)","0.07 (0.06, 0.08)","0.53 (0.40, 0.71)","-0.03 (-0.05, -0.02)"
"0 Week Lag","Combined WSH","Minimum Weekly Temperature","Below Median","2,777","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","0.95 (0.53, 1.70)","0.00 (-0.02, 0.02)"
"0 Week Lag","Combined WSH","Maximum Weekly Temperature","Above Median","4,457","0.04 (0.03, 0.05)","0.07 (0.06, 0.08)","0.55 (0.42, 0.73)","-0.03 (-0.05, -0.02)"
"0 Week Lag","Combined WSH","Maximum Weekly Temperature","Below Median","2,661","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.93 (0.56, 1.56)","0.00 (-0.02, 0.02)"
"0 Week Lag","Water","Average Weekly Temperature","Above Median","3,247","0.05 (0.04, 0.07)","0.07 (0.06, 0.09)","0.74 (0.54, 1.02)","-0.02 (-0.04, 0.00)"
"0 Week Lag","Water","Average Weekly Temperature","Below Median","1,999","0.05 (0.03, 0.06)","0.05 (0.03, 0.06)","1.36 (0.80, 2.32)","0.01 (-0.01, 0.03)"
"0 Week Lag","Water","Minimum Weekly Temperature","Above Median","3,137","0.05 (0.04, 0.07)","0.07 (0.06, 0.08)","0.79 (0.57, 1.11)","-0.01 (-0.03, 0.01)"
"0 Week Lag","Water","Minimum Weekly Temperature","Below Median","2,109","0.04 (0.03, 0.06)","0.04 (0.03, 0.06)","1.11 (0.62, 1.99)","0.00 (-0.02, 0.03)"
"0 Week Lag","Water","Maximum Weekly Temperature","Above Median","3,231","0.05 (0.04, 0.07)","0.07 (0.06, 0.08)","0.76 (0.55, 1.05)","-0.02 (-0.04, 0.00)"
"0 Week Lag","Water","Maximum Weekly Temperature","Below Median","2,015","0.05 (0.03, 0.06)","0.05 (0.03, 0.06)","1.34 (0.77, 2.31)","0.01 (-0.01, 0.04)"
"0 Week Lag","Sanitation","Average Weekly Temperature","Above Median","3,193","0.04 (0.02, 0.05)","0.07 (0.06, 0.09)","0.50 (0.34, 0.74)","-0.04 (-0.05, -0.02)"
"0 Week Lag","Sanitation","Average Weekly Temperature","Below Median","1,993","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.91 (0.49, 1.69)","0.00 (-0.02, 0.02)"
"0 Week Lag","Sanitation","Minimum Weekly Temperature","Above Median","3,087","0.04 (0.02, 0.05)","0.07 (0.06, 0.08)","0.51 (0.35, 0.75)","-0.03 (-0.05, -0.02)"
"0 Week Lag","Sanitation","Minimum Weekly Temperature","Below Median","2,099","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.80 (0.42, 1.52)","-0.01 (-0.03, 0.01)"
"0 Week Lag","Sanitation","Maximum Weekly Temperature","Above Median","3,182","0.04 (0.02, 0.05)","0.07 (0.06, 0.08)","0.51 (0.34, 0.75)","-0.03 (-0.05, -0.02)"
"0 Week Lag","Sanitation","Maximum Weekly Temperature","Below Median","2,004","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.86 (0.54, 1.38)","0.00 (-0.02, 0.01)"
"0 Week Lag","Handwashing","Average Weekly Temperature","Above Median","3,221","0.04 (0.03, 0.05)","0.07 (0.06, 0.09)","0.53 (0.36, 0.78)","-0.03 (-0.05, -0.02)"
"0 Week Lag","Handwashing","Average Weekly Temperature","Below Median","1,999","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.89 (0.48, 1.65)","0.00 (-0.02, 0.01)"
"0 Week Lag","Handwashing","Minimum Weekly Temperature","Above Median","3,128","0.04 (0.03, 0.05)","0.07 (0.06, 0.08)","0.55 (0.37, 0.82)","-0.03 (-0.05, -0.01)"
"0 Week Lag","Handwashing","Minimum Weekly Temperature","Below Median","2,092","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.77 (0.41, 1.44)","-0.01 (-0.03, 0.01)"
"0 Week Lag","Handwashing","Maximum Weekly Temperature","Above Median","3,231","0.04 (0.03, 0.05)","0.07 (0.06, 0.08)","0.53 (0.35, 0.81)","-0.03 (-0.06, -0.01)"
"0 Week Lag","Handwashing","Maximum Weekly Temperature","Below Median","1,989","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.85 (0.52, 1.38)","-0.01 (-0.02, 0.01)"
"1 Week Lag","Pooled Intervention","Average Weekly Temperature","Above Median","7,777","0.04 (0.04, 0.05)","0.07 (0.05, 0.08)","0.60 (0.48, 0.75)","-0.03 (-0.04, -0.01)"
"1 Week Lag","Pooled Intervention","Average Weekly Temperature","Below Median","4,625","0.03 (0.03, 0.04)","0.03 (0.03, 0.04)","0.91 (0.61, 1.35)","0.00 (-0.02, 0.01)"
"1 Week Lag","Pooled Intervention","Minimum Weekly Temperature","Above Median","7,921","0.04 (0.04, 0.05)","0.07 (0.05, 0.08)","0.63 (0.50, 0.79)","-0.02 (-0.04, -0.01)"
"1 Week Lag","Pooled Intervention","Minimum Weekly Temperature","Below Median","4,481","0.03 (0.03, 0.04)","0.03 (0.03, 0.04)","0.84 (0.40, 1.78)","-0.01 (-0.04, 0.02)"
"1 Week Lag","Pooled Intervention","Maximum Weekly Temperature","Above Median","7,591","0.04 (0.04, 0.05)","0.07 (0.06, 0.08)","0.60 (0.48, 0.75)","-0.03 (-0.04, -0.01)"
"1 Week Lag","Pooled Intervention","Maximum Weekly Temperature","Below Median","4,811","0.03 (0.03, 0.04)","0.03 (0.03, 0.04)","0.89 (0.59, 1.34)","0.00 (-0.02, 0.01)"
"1 Week Lag","Combined WSH","Average Weekly Temperature","Above Median","4,542","0.04 (0.03, 0.05)","0.07 (0.05, 0.08)","0.55 (0.43, 0.72)","-0.03 (-0.04, -0.02)"
"1 Week Lag","Combined WSH","Average Weekly Temperature","Below Median","2,576","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.94 (0.58, 1.52)","0.00 (-0.02, 0.01)"
"1 Week Lag","Combined WSH","Minimum Weekly Temperature","Above Median","4,604","0.04 (0.03, 0.05)","0.07 (0.05, 0.08)","0.59 (0.45, 0.76)","-0.03 (-0.04, -0.01)"
"1 Week Lag","Combined WSH","Minimum Weekly Temperature","Below Median","2,514","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.82 (0.31, 2.21)","-0.01 (-0.04, 0.03)"
"1 Week Lag","Combined WSH","Maximum Weekly Temperature","Above Median","4,433","0.04 (0.03, 0.05)","0.07 (0.06, 0.08)","0.55 (0.43, 0.71)","-0.03 (-0.05, -0.02)"
"1 Week Lag","Combined WSH","Maximum Weekly Temperature","Below Median","2,685","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.87 (0.53, 1.45)","0.00 (-0.02, 0.01)"
"1 Week Lag","Water","Average Weekly Temperature","Above Median","3,276","0.05 (0.04, 0.07)","0.07 (0.05, 0.08)","0.78 (0.57, 1.07)","-0.01 (-0.03, 0.00)"
"1 Week Lag","Water","Average Weekly Temperature","Below Median","1,970","0.04 (0.03, 0.06)","0.04 (0.03, 0.06)","1.18 (0.69, 2.02)","0.01 (-0.02, 0.03)"
"1 Week Lag","Water","Minimum Weekly Temperature","Above Median","3,370","0.05 (0.04, 0.07)","0.07 (0.05, 0.08)","0.83 (0.60, 1.13)","-0.01 (-0.03, 0.01)"
"1 Week Lag","Water","Minimum Weekly Temperature","Below Median","1,876","0.04 (0.03, 0.06)","0.04 (0.03, 0.06)","1.01 (0.51, 2.01)","0.00 (-0.03, 0.03)"
"1 Week Lag","Water","Maximum Weekly Temperature","Above Median","3,212","0.06 (0.04, 0.07)","0.07 (0.06, 0.08)","0.80 (0.57, 1.12)","-0.01 (-0.03, 0.01)"
"1 Week Lag","Water","Maximum Weekly Temperature","Below Median","2,034","0.04 (0.02, 0.06)","0.04 (0.02, 0.06)","1.18 (0.52, 2.68)","0.01 (-0.03, 0.04)"
"1 Week Lag","Sanitation","Average Weekly Temperature","Above Median","3,209","0.04 (0.02, 0.05)","0.07 (0.05, 0.08)","0.52 (0.35, 0.78)","-0.03 (-0.05, -0.01)"
"1 Week Lag","Sanitation","Average Weekly Temperature","Below Median","1,977","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.85 (0.48, 1.49)","-0.01 (-0.02, 0.01)"
"1 Week Lag","Sanitation","Minimum Weekly Temperature","Above Median","3,297","0.04 (0.02, 0.05)","0.07 (0.05, 0.08)","0.54 (0.36, 0.80)","-0.03 (-0.05, -0.01)"
"1 Week Lag","Sanitation","Minimum Weekly Temperature","Below Median","1,889","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.76 (0.38, 1.54)","-0.01 (-0.03, 0.02)"
"1 Week Lag","Sanitation","Maximum Weekly Temperature","Above Median","3,167","0.04 (0.02, 0.05)","0.07 (0.06, 0.08)","0.53 (0.36, 0.77)","-0.03 (-0.05, -0.02)"
"1 Week Lag","Sanitation","Maximum Weekly Temperature","Below Median","2,019","0.03 (0.01, 0.04)","0.03 (0.01, 0.04)","0.78 (0.43, 1.42)","-0.01 (-0.03, 0.01)"
"1 Week Lag","Handwashing","Average Weekly Temperature","Above Median","3,227","0.04 (0.03, 0.05)","0.07 (0.05, 0.08)","0.55 (0.37, 0.81)","-0.03 (-0.05, -0.01)"
"1 Week Lag","Handwashing","Average Weekly Temperature","Below Median","1,993","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.82 (0.52, 1.27)","-0.01 (-0.02, 0.01)"
"1 Week Lag","Handwashing","Minimum Weekly Temperature","Above Median","3,316","0.04 (0.03, 0.05)","0.07 (0.05, 0.08)","0.56 (0.37, 0.83)","-0.03 (-0.05, -0.01)"
"1 Week Lag","Handwashing","Minimum Weekly Temperature","Below Median","1,904","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.86 (0.57, 1.29)","-0.01 (-0.02, 0.01)"
"1 Week Lag","Handwashing","Maximum Weekly Temperature","Above Median","3,160","0.04 (0.03, 0.05)","0.07 (0.06, 0.08)","0.56 (0.37, 0.82)","-0.03 (-0.05, -0.01)"
"1 Week Lag","Handwashing","Maximum Weekly Temperature","Below Median","2,060","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.80 (0.50, 1.27)","-0.01 (-0.02, 0.01)"
"2 Week Lag","Pooled Intervention","Average Weekly Temperature","Above Median","7,785","0.04 (0.03, 0.04)","0.07 (0.06, 0.08)","0.56 (0.43, 0.74)","-0.03 (-0.05, -0.01)"
"2 Week Lag","Pooled Intervention","Average Weekly Temperature","Below Median","4,617","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","1.05 (0.74, 1.48)","0.00 (-0.01, 0.01)"
"2 Week Lag","Pooled Intervention","Minimum Weekly Temperature","Above Median","7,698","0.04 (0.03, 0.04)","0.07 (0.05, 0.08)","0.59 (0.28, 1.22)","-0.03 (-0.07, 0.02)"
"2 Week Lag","Pooled Intervention","Minimum Weekly Temperature","Below Median","4,704","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.86 (0.62, 1.18)","-0.01 (-0.02, 0.01)"
"2 Week Lag","Pooled Intervention","Maximum Weekly Temperature","Above Median","7,482","0.04 (0.03, 0.04)","0.07 (0.06, 0.09)","0.55 (0.44, 0.70)","-0.03 (-0.05, -0.02)"
"2 Week Lag","Pooled Intervention","Maximum Weekly Temperature","Below Median","4,920","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","1.03 (0.45, 2.35)","0.00 (-0.03, 0.03)"
"2 Week Lag","Combined WSH","Average Weekly Temperature","Above Median","4,532","0.04 (0.03, 0.04)","0.07 (0.06, 0.08)","0.51 (0.39, 0.68)","-0.03 (-0.05, -0.02)"
"2 Week Lag","Combined WSH","Average Weekly Temperature","Below Median","2,586","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","1.06 (0.68, 1.65)","0.00 (-0.01, 0.02)"
"2 Week Lag","Combined WSH","Minimum Weekly Temperature","Above Median","4,437","0.03 (0.03, 0.04)","0.07 (0.05, 0.08)","0.53 (0.40, 0.71)","-0.03 (-0.04, -0.02)"
"2 Week Lag","Combined WSH","Minimum Weekly Temperature","Below Median","2,681","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","0.90 (0.61, 1.33)","0.00 (-0.02, 0.01)"
"2 Week Lag","Combined WSH","Maximum Weekly Temperature","Above Median","4,314","0.03 (0.03, 0.04)","0.07 (0.06, 0.09)","0.47 (0.36, 0.62)","-0.04 (-0.05, -0.02)"
"2 Week Lag","Combined WSH","Maximum Weekly Temperature","Below Median","2,804","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","1.13 (0.59, 2.18)","0.00 (-0.02, 0.03)"
"2 Week Lag","Water","Average Weekly Temperature","Above Median","3,321","0.05 (0.04, 0.07)","0.07 (0.06, 0.08)","0.77 (0.56, 1.06)","-0.02 (-0.04, 0.00)"
"2 Week Lag","Water","Average Weekly Temperature","Below Median","1,925","0.04 (0.03, 0.06)","0.04 (0.03, 0.06)","1.21 (0.71, 2.06)","0.01 (-0.01, 0.03)"
"2 Week Lag","Water","Minimum Weekly Temperature","Above Median","3,269","0.05 (0.04, 0.07)","0.07 (0.05, 0.08)","0.85 (0.59, 1.21)","-0.01 (-0.03, 0.01)"
"2 Week Lag","Water","Minimum Weekly Temperature","Below Median","1,977","0.04 (0.03, 0.06)","0.04 (0.03, 0.06)","0.96 (0.57, 1.62)","0.00 (-0.02, 0.02)"
"2 Week Lag","Water","Maximum Weekly Temperature","Above Median","3,193","0.05 (0.04, 0.07)","0.07 (0.06, 0.09)","0.75 (0.55, 1.02)","-0.02 (-0.04, 0.00)"
"2 Week Lag","Water","Maximum Weekly Temperature","Below Median","2,053","0.05 (0.03, 0.06)","0.05 (0.03, 0.06)","1.28 (0.52, 3.15)","0.01 (-0.03, 0.05)"
"2 Week Lag","Sanitation","Average Weekly Temperature","Above Median","3,232","0.03 (0.02, 0.05)","0.07 (0.06, 0.08)","0.50 (0.34, 0.74)","-0.03 (-0.05, -0.02)"
"2 Week Lag","Sanitation","Average Weekly Temperature","Below Median","1,954","0.03 (0.02, 0.05)","0.03 (0.02, 0.05)","0.95 (0.55, 1.66)","0.00 (-0.02, 0.02)"
"2 Week Lag","Sanitation","Minimum Weekly Temperature","Above Median","3,181","0.03 (0.02, 0.05)","0.07 (0.05, 0.08)","0.52 (0.31, 0.87)","-0.03 (-0.06, -0.01)"
"2 Week Lag","Sanitation","Minimum Weekly Temperature","Below Median","2,005","0.03 (0.02, 0.05)","0.03 (0.02, 0.05)","0.76 (0.42, 1.38)","-0.01 (-0.03, 0.01)"
"2 Week Lag","Sanitation","Maximum Weekly Temperature","Above Median","3,095","0.04 (0.02, 0.05)","0.07 (0.06, 0.09)","0.52 (0.35, 0.77)","-0.03 (-0.05, -0.02)"
"2 Week Lag","Sanitation","Maximum Weekly Temperature","Below Median","2,091","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.85 (0.47, 1.53)","-0.01 (-0.02, 0.01)"
"2 Week Lag","Handwashing","Average Weekly Temperature","Above Median","3,240","0.04 (0.02, 0.05)","0.07 (0.06, 0.08)","0.53 (0.25, 1.12)","-0.03 (-0.06, 0.00)"
"2 Week Lag","Handwashing","Average Weekly Temperature","Below Median","1,980","0.03 (0.02, 0.05)","0.03 (0.02, 0.05)","0.94 (0.64, 1.38)","0.00 (-0.01, 0.01)"
"2 Week Lag","Handwashing","Minimum Weekly Temperature","Above Median","3,213","0.04 (0.02, 0.05)","0.07 (0.05, 0.08)","0.55 (0.24, 1.25)","-0.03 (-0.06, 0.00)"
"2 Week Lag","Handwashing","Minimum Weekly Temperature","Below Median","2,007","0.03 (0.02, 0.05)","0.03 (0.02, 0.05)","0.74 (0.49, 1.10)","-0.01 (-0.03, 0.00)"
"2 Week Lag","Handwashing","Maximum Weekly Temperature","Above Median","3,138","0.04 (0.03, 0.05)","0.07 (0.06, 0.09)","0.55 (0.28, 1.09)","-0.03 (-0.06, 0.00)"
"2 Week Lag","Handwashing","Maximum Weekly Temperature","Below Median","2,082","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.82 (0.56, 1.20)","-0.01 (-0.02, 0.00)"
"3 Week Lag","Pooled Intervention","Average Weekly Temperature","Above Median","7,455","0.04 (0.03, 0.05)","0.07 (0.06, 0.08)","0.57 (0.36, 0.90)","-0.03 (-0.06, 0.00)"
"3 Week Lag","Pooled Intervention","Average Weekly Temperature","Below Median","4,947","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.96 (0.69, 1.35)","0.00 (-0.01, 0.01)"
"3 Week Lag","Pooled Intervention","Minimum Weekly Temperature","Above Median","7,387","0.04 (0.03, 0.04)","0.07 (0.06, 0.08)","0.56 (0.36, 0.87)","-0.03 (-0.06, 0.00)"
"3 Week Lag","Pooled Intervention","Minimum Weekly Temperature","Below Median","5,015","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","1.01 (0.73, 1.38)","0.00 (-0.01, 0.01)"
"3 Week Lag","Pooled Intervention","Maximum Weekly Temperature","Above Median","7,118","0.04 (0.03, 0.05)","0.07 (0.06, 0.09)","0.56 (0.45, 0.72)","-0.03 (-0.05, -0.02)"
"3 Week Lag","Pooled Intervention","Maximum Weekly Temperature","Below Median","5,284","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.97 (0.71, 1.33)","0.00 (-0.01, 0.01)"
"3 Week Lag","Combined WSH","Average Weekly Temperature","Above Median","4,316","0.04 (0.03, 0.04)","0.07 (0.06, 0.08)","0.53 (0.41, 0.68)","-0.03 (-0.05, -0.02)"
"3 Week Lag","Combined WSH","Average Weekly Temperature","Below Median","2,802","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","0.95 (0.60, 1.51)","0.00 (-0.02, 0.02)"
"3 Week Lag","Combined WSH","Minimum Weekly Temperature","Above Median","4,283","0.04 (0.03, 0.04)","0.07 (0.06, 0.08)","0.52 (0.40, 0.67)","-0.03 (-0.05, -0.02)"
"3 Week Lag","Combined WSH","Minimum Weekly Temperature","Below Median","2,835","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","0.99 (0.65, 1.53)","0.00 (-0.02, 0.02)"
"3 Week Lag","Combined WSH","Maximum Weekly Temperature","Above Median","4,119","0.04 (0.03, 0.05)","0.07 (0.06, 0.09)","0.52 (0.40, 0.68)","-0.03 (-0.05, -0.02)"
"3 Week Lag","Combined WSH","Maximum Weekly Temperature","Below Median","2,999","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.97 (0.65, 1.44)","0.00 (-0.02, 0.01)"
"3 Week Lag","Water","Average Weekly Temperature","Above Median","3,173","0.05 (0.04, 0.07)","0.07 (0.06, 0.08)","0.79 (0.57, 1.08)","-0.01 (-0.03, 0.00)"
"3 Week Lag","Water","Average Weekly Temperature","Below Median","2,073","0.04 (0.03, 0.06)","0.04 (0.03, 0.06)","1.18 (0.70, 1.97)","0.01 (-0.01, 0.03)"
"3 Week Lag","Water","Minimum Weekly Temperature","Above Median","3,166","0.05 (0.04, 0.07)","0.07 (0.06, 0.08)","0.77 (0.56, 1.08)","-0.02 (-0.04, 0.00)"
"3 Week Lag","Water","Minimum Weekly Temperature","Below Median","2,080","0.05 (0.03, 0.06)","0.05 (0.03, 0.06)","1.19 (0.75, 1.87)","0.01 (-0.01, 0.03)"
"3 Week Lag","Water","Maximum Weekly Temperature","Above Median","3,029","0.06 (0.04, 0.07)","0.07 (0.06, 0.09)","0.78 (0.56, 1.10)","-0.02 (-0.04, 0.01)"
"3 Week Lag","Water","Maximum Weekly Temperature","Below Median","2,217","0.04 (0.03, 0.06)","0.04 (0.03, 0.06)","1.16 (0.71, 1.90)","0.01 (-0.01, 0.03)"
"3 Week Lag","Sanitation","Average Weekly Temperature","Above Median","3,085","0.03 (0.02, 0.04)","0.07 (0.06, 0.08)","0.44 (0.28, 0.67)","-0.04 (-0.06, -0.02)"
"3 Week Lag","Sanitation","Average Weekly Temperature","Below Median","2,101","0.04 (0.02, 0.05)","0.04 (0.02, 0.05)","0.98 (0.61, 1.59)","0.00 (-0.02, 0.02)"
"3 Week Lag","Sanitation","Minimum Weekly Temperature","Above Median","3,083","0.03 (0.02, 0.04)","0.07 (0.06, 0.08)","0.44 (0.29, 0.68)","-0.04 (-0.06, -0.02)"
"3 Week Lag","Sanitation","Minimum Weekly Temperature","Below Median","2,103","0.04 (0.02, 0.05)","0.04 (0.02, 0.05)","0.97 (0.60, 1.55)","0.00 (-0.02, 0.02)"
"3 Week Lag","Sanitation","Maximum Weekly Temperature","Above Median","2,956","0.03 (0.02, 0.05)","0.07 (0.06, 0.09)","0.46 (0.32, 0.68)","-0.04 (-0.06, -0.02)"
"3 Week Lag","Sanitation","Maximum Weekly Temperature","Below Median","2,230","0.03 (0.02, 0.05)","0.03 (0.02, 0.05)","0.94 (0.56, 1.58)","0.00 (-0.02, 0.02)"
"3 Week Lag","Handwashing","Average Weekly Temperature","Above Median","3,097","0.04 (0.03, 0.05)","0.07 (0.06, 0.08)","0.55 (0.36, 0.83)","-0.03 (-0.05, -0.01)"
"3 Week Lag","Handwashing","Average Weekly Temperature","Below Median","2,123","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.79 (0.53, 1.16)","-0.01 (-0.02, 0.00)"
"3 Week Lag","Handwashing","Minimum Weekly Temperature","Above Median","3,098","0.04 (0.02, 0.05)","0.07 (0.06, 0.08)","0.52 (0.34, 0.78)","-0.03 (-0.05, -0.01)"
"3 Week Lag","Handwashing","Minimum Weekly Temperature","Below Median","2,122","0.03 (0.02, 0.05)","0.03 (0.02, 0.05)","0.88 (0.61, 1.27)","0.00 (-0.02, 0.01)"
"3 Week Lag","Handwashing","Maximum Weekly Temperature","Above Median","2,963","0.04 (0.02, 0.05)","0.07 (0.06, 0.09)","0.52 (0.33, 0.80)","-0.03 (-0.06, -0.01)"
"3 Week Lag","Handwashing","Maximum Weekly Temperature","Below Median","2,257","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.88 (0.61, 1.25)","0.00 (-0.02, 0.01)"
